transit_id,pl_period,pl_transit_duration,pl_transit_depth,pl_radius,pl_eq_temp,pl_insolation_flux,st_eff_temp,st_radius,st_logg
K05163.01,273.223848,3.787,469.9,8.0,452.0,9.87,5079.0,3.792,3.439
K05281.01,263.90141,4.303,807.1,23.91,562.0,23.6,5094.0,6.247,3.126
K05284.01,389.316341,5.49,2599.8,27.61,245.0,0.86,5731.0,0.958,4.44
K05286.01,342.830882,3.826,450.7,10.76,530.0,18.68,4994.0,5.205,2.92
K03781.01,2.882424694,25.91,67298.0,399.44,2912.0,17023.71,4705.0,8.058,2.667
K05043.01,65.5327181,2.256,373.4,1.79,437.0,8.61,5755.0,0.923,4.48
K05045.01,1.018360336,7.622,393969.0,107.0,2302.0,6627.64,6160.0,1.463,4.144
K05164.01,209.967521,2.585,120.0,1.16,344.0,3.29,6437.0,1.042,4.439
K05293.01,1.710299164,3.92227,157266.0,57.97,1638.0,1700.05,6082.0,1.006,4.385
K04924.01,3.0031801,2.814,374.7,4.7,1827.0,2630.88,6606.0,1.768,4.071
K05172.01,12.4276185,18.56,147.0,1.14,768.0,82.45,5869.0,0.942,4.513
K05298.01,1.195515364,6.08509,396401.0,156.91,2640.0,11494.67,6047.0,2.264,3.789
K05060.01,290.438547,12.85,212.9,1.11,235.0,0.72,5392.0,0.775,4.557
K05061.01,0.766298172,1.78462,19400.9,15.64,2163.0,5154.54,6267.0,0.996,4.431
K05184.01,419.75224,4.154,754.0,2.82,257.0,1.03,6137.0,1.016,4.457
K05304.01,206.309658,1.498,277.1,2.36,361.0,4.01,6028.0,1.267,4.241
K05305.01,8.46184728,35.525,411.2,4.92,1511.0,1233.13,7663.0,1.913,4.087
K05308.01,9.942228056,2.45451,31067.9,22.15,740.0,70.93,5268.0,0.843,4.475
K04937.01,1.8437362,21.04,341.1,25.26,1628.0,1655.74,6032.0,1.114,4.358
K04944.01,1.52327807,3.813,924.2,22.88,3461.0,33813.44,4477.0,7.912,2.633
K05067.01,219.931324,4.818,641.0,2.3,279.0,1.43,5557.0,0.912,4.5
K05068.01,385.29212,19.417,218.5,1.57,290.0,1.68,6440.0,1.053,4.355
K05332.01,22.2381062,2.68,104.2,1.09,702.0,57.27,6192.0,1.055,4.433
K05334.01,323.972022,1.25,462.0,2.96,307.0,2.11,6002.0,1.302,4.267
